date,time,HAP,東部小水力_2022,東部小水力_2023
01-01,00:00,67.19494347458279,76.92,53.11
01-01,00:10,67.19494347458279,76.92,53.11
01-01,00:20,67.19494347458279,76.92,53.11
01-01,00:30,67.19494347458279,76.92,53.11
01-01,00:40,67.19494347458279,76.92,53.11
01-01,00:50,67.19494347458279,76.92,53.11
01-01,01:00,67.19494347458279,76.92,53.11
01-01,01:10,67.19494347458279,76.92,53.11
01-01,01:20,67.19494347458279,76.92,53.11
01-01,01:30,67.19494347458279,76.92,53.11
01-01,01:40,67.19494347458279,76.92,53.11
01-01,01:50,67.19494347458279,76.92,53.11
01-01,02:00,67.19494347458279,76.92,53.11
01-01,02:10,67.19494347458279,76.92,53.11
01-01,02:20,67.19494347458279,76.92,53.11
01-01,02:30,67.19494347458279,76.92,53.11
01-01,02:40,67.19494347458279,76.92,53.11
01-01,02:50,67.19494347458279,76.92,53.11
01-01,03:00,67.19494347458279,76.92,53.11
01-01,03:10,67.19494347458279,76.92,53.11
01-01,03:20,67.19494347458279,76.92,53.11
01-01,03:30,67.19494347458279,76.92,53.11
01-01,03:40,67.19494347458279,76.92,53.11
01-01,03:50,67.19494347458279,76.92,53.11
01-01,04:00,67.19494347458279,76.92,53.11
01-01,04:10,67.19494347458279,76.92,53.11
01-01,04:20,67.19494347458279,76.92,53.11
01-01,04:30,67.19494347458279,76.92,53.11
01-01,04:40,67.19494347458279,76.92,53.11
01-01,04:50,67.19494347458279,76.92,53.11
01-01,05:00,67.19494347458279,76.92,53.11
01-01,05:10,67.19494347458279,76.92,53.11
01-01,05:20,67.19494347458279,76.92,53.11
01-01,05:30,67.19494347458279,76.92,53.11
01-01,05:40,67.19494347458279,76.92,53.11
01-01,05:50,67.19494347458279,76.92,53.11
01-01,06:00,67.19494347458279,76.92,53.11
01-01,06:10,67.19494347458279,76.92,53.11
01-01,06:20,67.19494347458279,76.92,53.11
01-01,06:30,67.19494347458279,76.92,53.11
01-01,06:40,67.19494347458279,76.92,53.11
01-01,06:50,67.19494347458279,76.92,53.11
01-01,07:00,67.19494347458279,76.92,53.11
01-01,07:10,67.19494347458279,76.92,53.11
01-01,07:20,67.19494347458279,76.92,53.11
01-01,07:30,67.19494347458279,76.92,53.11
01-01,07:40,67.19494347458279,76.92,53.11
01-01,07:50,67.19494347458279,76.92,53.11
01-01,08:00,67.19494347458279,76.92,53.11
01-01,08:10,67.19494347458279,76.92,53.11
01-01,08:20,53.11,,53.11
01-01,08:23,76.92,76.92,
01-01,08:30,67.19494347458279,76.92,53.11
01-01,08:40,67.19494347458279,76.92,53.11
01-01,08:50,67.19494347458279,76.92,53.11
01-01,09:00,67.19494347458279,76.92,53.11
01-01,09:10,67.19494347458279,76.92,53.11
01-01,09:20,67.19494347458279,76.92,53.11
01-01,09:30,67.19494347458279,76.92,53.11
01-01,09:40,67.19494347458279,76.92,53.11
01-01,09:50,67.19494347458279,76.92,53.11
01-01,10:00,67.19494347458279,76.92,53.11
01-01,10:10,67.19494347458279,76.92,53.11
01-01,10:20,65.41244910693393,73.26,54.95
01-01,10:30,65.41244910693393,73.26,54.95
01-01,10:40,65.41244910693393,73.26,54.95
01-01,10:50,65.41244910693393,73.26,54.95
01-01,11:00,65.41244910693393,73.26,54.95
01-01,11:10,65.41244910693393,73.26,54.95
01-01,11:20,65.41244910693393,73.26,54.95
01-01,11:30,65.41244910693393,73.26,54.95
01-01,11:40,65.41244910693393,73.26,54.95
01-01,11:50,65.41244910693393,73.26,54.95
01-01,12:00,65.41244910693393,73.26,54.95
01-01,12:10,65.41244910693393,73.26,54.95
01-01,12:20,65.41244910693393,73.26,54.95
01-01,12:30,65.41244910693393,73.26,54.95
01-01,12:40,65.41244910693393,73.26,54.95
01-01,12:50,65.41244910693393,73.26,54.95
01-01,13:00,65.41244910693393,73.26,54.95
01-01,13:10,65.41244910693393,73.26,54.95
01-01,13:20,65.41244910693393,73.26,54.95
01-01,13:30,65.41244910693393,73.26,54.95
01-01,13:40,65.41244910693393,73.26,54.95
01-01,13:50,65.41244910693393,73.26,54.95
01-01,14:00,65.41244910693393,73.26,54.95
01-01,14:10,65.41244910693393,73.26,54.95
01-01,14:20,65.41244910693393,73.26,54.95
01-01,14:30,65.41244910693393,73.26,54.95
01-01,14:40,65.41244910693393,73.26,54.95
01-01,14:50,65.41244910693393,73.26,54.95
01-01,15:00,65.41244910693393,73.26,54.95
01-01,15:10,65.41244910693393,73.26,54.95
01-01,15:20,65.41244910693393,73.26,54.95
01-01,15:30,65.41244910693393,73.26,54.95
01-01,15:40,65.41244910693393,73.26,54.95
01-01,15:50,65.41244910693393,73.26,54.95
01-01,16:00,65.41244910693393,73.26,54.95
01-01,16:10,65.41244910693393,73.26,54.95
01-01,16:20,65.41244910693393,73.26,54.95
01-01,16:30,65.41244910693393,73.26,54.95
01-01,16:40,65.41244910693393,73.26,54.95
01-01,16:50,65.41244910693393,73.26,54.95
01-01,17:00,65.41244910693393,73.26,54.95
01-01,17:10,65.41244910693393,73.26,54.95
01-01,17:20,65.41244910693393,73.26,54.95
01-01,17:30,65.41244910693393,73.26,54.95
01-01,17:40,65.41244910693393,73.26,54.95
01-01,17:50,65.41244910693393,73.26,54.95
01-01,18:00,65.41244910693393,73.26,54.95
01-01,18:10,65.41244910693393,73.26,54.95
01-01,18:20,65.41244910693393,73.26,54.95
01-01,18:30,65.41244910693393,73.26,54.95
01-01,18:40,65.41244910693393,73.26,54.95
01-01,18:50,65.41244910693393,73.26,54.95
01-01,19:00,65.41244910693393,73.26,54.95
01-01,19:10,65.41244910693393,73.26,54.95
01-01,19:20,65.41244910693393,73.26,54.95
01-01,19:30,65.41244910693393,73.26,54.95
01-01,19:40,65.41244910693393,73.26,54.95
01-01,19:50,65.41244910693393,73.26,54.95
01-01,20:00,65.41244910693393,73.26,54.95
01-01,20:10,65.41244910693393,73.26,54.95
01-01,20:20,65.41244910693393,73.26,54.95
01-01,20:30,65.41244910693393,73.26,54.95
01-01,20:40,65.41244910693393,73.26,54.95
01-01,20:50,65.41244910693393,73.26,54.95
01-01,21:00,65.41244910693393,73.26,54.95
01-01,21:10,65.41244910693393,73.26,54.95
01-01,21:20,65.41244910693393,73.26,54.95
01-01,21:30,65.41244910693393,73.26,54.95
01-01,21:40,65.41244910693393,73.26,54.95
01-01,21:50,65.41244910693393,73.26,54.95
01-01,22:00,65.41244910693393,73.26,54.95
01-01,22:10,65.41244910693393,73.26,54.95
01-01,22:20,65.41244910693393,73.26,54.95
01-01,22:30,65.41244910693393,73.26,54.95
01-01,22:40,65.41244910693393,73.26,54.95
01-01,22:50,65.41244910693393,73.26,54.95
01-01,23:00,65.41244910693393,73.26,54.95
01-01,23:10,65.41244910693393,73.26,54.95
01-01,23:20,65.41244910693393,73.26,54.95
01-01,23:30,65.41244910693393,73.26,54.95
01-01,23:40,65.41244910693393,73.26,54.95
01-01,23:50,65.41244910693393,73.26,54.95
