案場名稱,年份,月份,時間分類,平均使用率,實際資料筆數,裝置容量,理論時段數,資料完整率
中威大安 (wind),2022,1,mid-peak,2.79,2180,75.9,2340,93.16
中威大安 (wind),2022,1,off-peak,2.82,2044,75.9,2124,96.23
中威大安 (wind),2022,2,mid-peak,3.11,2160,75.9,2160,100.0
中威大安 (wind),2022,2,off-peak,3.17,1872,75.9,1872,100.0
中威大安 (wind),2022,3,mid-peak,1.61,2430,75.9,2430,100.0
中威大安 (wind),2022,3,off-peak,1.44,2034,75.9,2034,100.0
中威大安 (wind),2022,4,mid-peak,1.75,2340,75.9,2340,100.0
中威大安 (wind),2022,4,off-peak,1.66,1980,75.9,1980,100.0
中威大安 (wind),2022,5,mid-peak,11.15,1872,75.9,1908,98.11
中威大安 (wind),2022,5,off-peak,5.76,2037,75.9,2124,95.9
中威大安 (wind),2022,5,peak,21.49,432,75.9,432,100.0
中威大安 (wind),2022,6,mid-peak,14.92,1506,75.9,1548,97.29
中威大安 (wind),2022,6,off-peak,13.01,1949,75.9,1980,98.43
中威大安 (wind),2022,6,peak,7.86,757,75.9,792,95.58
中威大安 (wind),2022,7,mid-peak,13.25,1580,75.9,1584,99.75
中威大安 (wind),2022,7,off-peak,8.82,2124,75.9,2124,100.0
中威大安 (wind),2022,7,peak,8.9,756,75.9,756,100.0
中威大安 (wind),2022,8,mid-peak,20.69,1596,75.9,1602,99.63
中威大安 (wind),2022,8,off-peak,21.0,2034,75.9,2034,100.0
中威大安 (wind),2022,8,peak,19.38,828,75.9,828,100.0
中威大安 (wind),2022,9,mid-peak,19.8,1548,75.9,1548,100.0
中威大安 (wind),2022,9,off-peak,19.9,1980,75.9,1980,100.0
中威大安 (wind),2022,9,peak,18.42,792,75.9,792,100.0
中威大安 (wind),2022,10,mid-peak,54.73,1976,75.9,1980,99.8
中威大安 (wind),2022,10,off-peak,47.86,2124,75.9,2124,100.0
中威大安 (wind),2022,10,peak,52.38,348,75.9,360,96.67
中威大安 (wind),2022,11,mid-peak,22.46,2329,75.9,2340,99.53
中威大安 (wind),2022,11,off-peak,17.72,1980,75.9,1980,100.0
中威大安 (wind),2022,12,mid-peak,66.03,2424,75.9,2430,99.75
中威大安 (wind),2022,12,off-peak,69.47,2033,75.9,2034,99.95
中威大安 (wind),2023,1,mid-peak,56.15,2328,75.9,2340,99.49
中威大安 (wind),2023,1,off-peak,53.29,2124,75.9,2124,100.0
