date,time,OWAP,離岸一期_2022,離岸一期_2023
01-01,00:00,54.771949644932214,48.72,59.71
01-01,00:10,52.907765730880925,43.59,59.71
01-01,00:20,51.129956772334296,37.45,59.71
01-01,00:30,51.45832097511427,38.74,59.71
01-01,00:40,54.95735704723656,40.48,64.1
01-01,00:50,54.088073842547374,39.01,63.37
01-01,01:00,59.31977401129943,44.32,68.96
01-01,01:10,57.799554460050224,39.01,68.5
01-01,01:20,55.02501192179304,40.75,64.1
01-01,01:30,56.18176470588235,44.87,64.1
01-01,01:40,53.700715029832374,45.88,59.71
01-01,01:50,53.48164383561644,45.6,59.52
01-01,02:00,53.68082615690357,46.15,59.52
01-01,02:10,53.321418744625966,45.15,59.52
01-01,02:20,53.032480739599386,44.32,59.52
01-01,02:30,54.4431172810846,48.17,59.52
01-01,02:40,54.265359507600486,47.71,59.52
01-01,02:50,52.97096276287864,44.14,59.52
01-01,03:00,55.63983199551988,43.04,64.1
01-01,03:10,55.51055868016498,42.58,64.1
01-01,03:20,57.01419759727452,47.44,64.1
01-01,03:30,57.58712905209523,50.73,63.1
01-01,03:40,57.359548604940464,48.44,64.1
01-01,03:50,60.513374311148795,49.45,68.5
01-01,04:00,55.71990690746602,43.32,64.1
01-01,04:10,54.607604500048495,39.01,64.1
01-01,04:20,51.8918210830757,40.75,59.52
01-01,04:30,54.324241894777714,39.47,63.55
01-01,04:40,55.53794960335978,43.32,63.83
01-01,04:50,55.51055868016498,42.58,64.1
01-01,05:00,54.36700421527302,37.91,64.1
01-01,05:10,53.289795509644776,30.77,64.1
01-01,05:20,52.43484400998336,33.61,62.55
01-01,05:30,57.65044615240416,38.19,68.5
01-01,05:40,57.07624279677295,35.9,68.22
01-01,05:50,56.922042139384125,30.04,68.68
01-01,06:00,55.716138529065404,26.19,67.22
01-01,06:10,55.231257288243405,27.66,66.67
01-01,06:20,53.07676321353066,30.77,63.83
01-01,06:30,53.50266721717588,32.78,64.1
01-01,06:40,51.17218181818182,33.06,60.99
01-01,06:50,54.91037551489607,40.29,64.1
01-01,07:00,56.01152584085316,46.89,62.82
01-01,07:10,55.877265653945905,43.86,64.1
01-01,07:20,55.094949637578836,42.86,63.37
01-01,07:30,55.789526354589015,45.15,63.37
01-01,07:40,60.60494713693648,49.73,68.5
01-01,07:50,60.308879781420764,48.44,68.68
01-01,08:00,61.24192064021341,51.28,68.68
01-01,08:10,62.32715632109197,54.58,68.5
01-01,08:20,66.94,,66.94
01-01,08:23,50.27,50.27,
01-01,08:30,61.994441361299266,54.58,67.95
01-01,08:40,63.096421153538905,56.96,68.22
01-01,08:50,58.53760975609757,55.86,60.99
01-01,09:00,58.35795776461498,55.68,60.81
01-01,09:10,58.112603591160216,54.58,61.26
01-01,09:20,58.85728307979943,57.69,59.98
01-01,09:30,60.22659104130309,58.24,62.09
01-01,09:40,59.30252903772785,54.58,63.37
01-01,09:50,58.99658249445487,53.85,63.37
01-01,10:00,60.76732816878193,58.24,63.1
01-01,10:10,60.46710895361381,56.68,63.83
01-01,10:20,63.11100800380378,62.09,64.1
01-01,10:30,60.34894377910845,56.41,63.83
01-01,10:40,64.4272449297972,59.52,68.68
01-01,10:50,63.03991347540458,56.14,68.68
01-01,11:00,63.93871094363322,59.71,67.67
01-01,11:10,64.76114779508642,60.53,68.5
01-01,11:20,63.44747776365948,57.42,68.5
01-01,11:30,63.69030774061863,63.55,63.83
01-01,11:40,59.61515138807347,59.71,59.52
01-01,11:50,59.112843850448314,58.7,59.52
01-01,12:00,63.05396510705789,62.55,63.55
01-01,12:10,61.092882676067894,58.42,63.55
01-01,12:20,60.38347970725216,56.14,64.1
01-01,12:30,56.80106641968775,54.12,59.25
01-01,12:40,54.548573545757684,48.44,59.52
01-01,12:50,53.582588235294125,45.88,59.52
01-01,13:00,52.19715639810426,41.76,59.52
01-01,13:10,50.930535677352644,37.18,59.52
01-01,13:20,50.79965990639626,36.63,59.52
01-01,13:30,50.92353437628653,37.91,59.25
01-01,13:40,50.61146516285443,35.16,59.71
01-01,13:50,53.35836820083682,31.5,64.1
01-01,14:00,53.289795509644776,30.77,64.1
01-01,14:10,54.02492171137928,36.17,64.1
01-01,14:20,53.84883739673585,35.16,64.1
01-01,14:30,53.80464794423679,34.89,64.1
01-01,14:40,54.27191038897095,37.45,64.1
01-01,14:50,50.86331051649036,36.9,59.52
01-01,15:00,52.05634199563579,41.3,59.52
01-01,15:10,53.48164383561644,45.6,59.52
01-01,15:20,55.8655635448499,52.01,59.25
01-01,15:30,54.49848013337038,48.72,59.25
01-01,15:40,57.72005724350506,49.45,64.1
01-01,15:50,57.4583265378479,48.72,64.1
01-01,16:00,57.55442656291449,48.99,64.1
01-01,16:10,56.502936695084344,46.43,63.83
01-01,16:20,56.099080036798526,44.6,64.1
01-01,16:30,56.586235827664396,46.15,64.1
01-01,16:40,55.877265653945905,43.86,64.1
01-01,16:50,53.88364149877613,46.7,59.52
01-01,17:00,55.06364576659039,49.73,59.52
01-01,17:10,56.94829989440338,54.12,59.52
01-01,17:20,58.75522427440633,57.97,59.52
01-01,17:30,59.89228585740524,60.26,59.52
01-01,17:40,61.07260506266896,62.55,59.52
01-01,17:50,60.926047294523364,62.27,59.52
01-01,18:00,62.04531719128329,64.38,59.52
01-01,18:10,60.171914734480175,60.81,59.52
01-01,18:20,63.14242315939957,66.39,59.52
01-01,18:30,63.14242315939957,66.39,59.52
01-01,18:40,64.58679950186799,68.96,59.52
01-01,18:50,66.63957462798737,69.23,63.83
01-01,19:00,66.24740346104437,68.5,63.83
01-01,19:10,65.954404310214,67.95,63.83
01-01,19:20,65.954404310214,67.95,63.83
01-01,19:30,64.75793111437177,65.66,63.83
01-01,19:40,63.60083176100629,63.37,63.83
01-01,19:50,64.99517737591381,66.12,63.83
01-01,20:00,60.79752633311389,62.27,59.25
01-01,20:10,61.08720324404031,62.82,59.25
01-01,20:20,60.5570675698001,61.81,59.25
01-01,20:30,56.98456685995431,58.97,54.85
01-01,20:40,55.64093654502965,56.41,54.85
01-01,20:50,57.280343621579085,59.52,54.85
01-01,21:00,61.982829335271774,59.71,64.1
01-01,21:10,60.61792018546116,56.68,64.1
01-01,21:20,60.61792018546116,56.68,64.1
01-01,21:30,60.38347970725216,56.14,64.1
01-01,21:40,61.310344940330225,58.24,64.1
01-01,21:50,60.74055509664628,56.96,64.1
