date,time,weighted_avg,南鹽光_2022,南鹽光_2023,彰濱光_2022,彰濱光_2023
01-01,00:00,,0.0,0.0,0.0,0.0
01-01,00:10,,0.0,0.0,0.0,0.0
01-01,00:20,,0.0,0.0,0.0,0.0
01-01,00:30,,0.0,0.0,0.0,0.0
01-01,00:40,,0.0,0.0,0.0,0.0
01-01,00:50,,0.0,0.0,0.0,0.0
01-01,01:00,,0.0,0.0,0.0,0.0
01-01,01:10,,0.0,0.0,0.0,0.0
01-01,01:20,,0.0,0.0,0.0,0.0
01-01,01:30,,0.0,0.0,0.0,0.0
01-01,01:40,,0.0,0.0,0.0,0.0
01-01,01:50,,0.0,0.0,0.0,0.0
01-01,02:00,,0.0,0.0,0.0,0.0
01-01,02:10,,0.0,0.0,0.0,0.0
01-01,02:20,,0.0,0.0,0.0,0.0
01-01,02:30,,0.0,0.0,0.0,0.0
01-01,02:40,,0.0,0.0,0.0,0.0
01-01,02:50,,0.0,0.0,0.0,0.0
01-01,03:00,,0.0,0.0,0.0,0.0
01-01,03:10,,0.0,0.0,0.0,0.0
01-01,03:20,,0.0,0.0,0.0,0.0
01-01,03:30,,0.0,0.0,0.0,0.0
01-01,03:40,,0.0,0.0,0.0,0.0
01-01,03:50,,0.0,0.0,0.0,0.0
01-01,04:00,,0.0,0.0,0.0,0.0
01-01,04:10,,0.0,0.0,0.0,0.0
01-01,04:20,,0.0,0.0,0.0,0.0
01-01,04:30,,0.0,0.0,0.0,0.0
01-01,04:40,,0.0,0.0,0.0,0.0
01-01,04:50,,0.0,0.0,0.0,0.0
01-01,05:00,,0.0,0.0,0.0,0.0
01-01,05:10,,0.0,0.0,0.0,0.0
01-01,05:20,,0.0,0.0,0.0,0.0
01-01,05:30,,0.0,0.0,0.0,0.0
01-01,05:40,,0.0,0.0,0.0,0.0
01-01,05:50,,0.0,0.0,0.0,0.0
01-01,06:00,,0.0,0.0,0.0,0.0
01-01,06:10,,0.0,0.0,0.0,0.0
01-01,06:20,,0.0,0.0,0.0,0.0
01-01,06:30,,0.0,0.0,0.0,0.0
01-01,06:40,,0.0,0.0,0.0,0.0
01-01,06:50,,0.0,0.0,0.0,0.0
01-01,07:00,0.3875,0.0,0.44,0.14,0.0
01-01,07:10,1.1788588007736944,0.0,1.35,0.56,0.0
01-01,07:20,3.129100227790433,0.0,3.1,3.57,0.56
01-01,07:30,4.449815822519883,0.0,3.53,5.81,0.84
01-01,07:40,4.868253012048194,0.0,4.0,6.3,0.98
01-01,07:50,5.086195296219113,0.0,4.15,6.65,3.92
01-01,08:00,7.152669087607808,0.0,5.12,9.94,4.41
01-01,08:10,6.959797313797313,0.0,6.47,8.68,2.09
01-01,08:20,7.054836193447739,,8.07,,3.92
01-01,08:23,11.2,0.0,,11.2,
01-01,08:30,10.590150309460654,0.0,11.42,11.76,5.04
01-01,08:40,15.930797050911627,0.0,17.17,17.64,6.79
01-01,08:50,10.041649175412294,0.0,7.58,12.88,9.1
01-01,09:00,11.322512626262625,0.0,11.42,11.62,10.85
01-01,09:10,13.087989770958416,0.0,14.44,13.09,10.22
01-01,09:20,15.556405516712962,0.0,16.19,17.78,10.14
01-01,09:30,15.28380213385063,0.0,14.86,18.41,10.85
01-01,09:40,17.955741807706158,0.0,14.86,24.15,9.1
01-01,09:50,19.36308583162218,0.0,12.63,26.46,15.47
01-01,10:00,26.16653785071467,0.0,14.44,37.24,16.66
01-01,10:10,29.98896499238965,0.0,13.59,42.7,19.04
01-01,10:20,40.72792662039124,0.0,18.28,58.03,25.48
01-01,10:30,55.41834555101049,0.0,18.23,77.42,18.69
01-01,10:40,59.7266085893321,0.0,20.6,83.02,16.94
01-01,10:50,28.352278801697388,0.0,14.65,40.6,16.37
01-01,11:00,27.364672208577367,0.0,14.29,38.64,19.32
01-01,11:10,24.327059518022086,0.0,13.19,34.09,18.12
01-01,11:20,23.791661409043108,0.0,12.41,32.55,20.16
01-01,11:30,24.555430942184152,0.0,14.16,33.95,19.53
01-01,11:40,30.066077212497955,0.0,15.77,39.9,28.14
01-01,11:50,29.181614805109728,0.0,17.24,38.64,27.09
01-01,12:00,27.99511384544618,0.0,20.74,38.64,17.21
