date,time,WAP,王功_2022,王功_2023,台中港_2022,台中港_2023,觀園_2022,觀園_2023
01-01,00:00,71.7094028817414,10.43,81.74,6.15,41.15,89.33,67.67
01-01,00:10,73.35869773007559,5.65,83.91,6.54,45.38,86.33,73.0
01-01,00:20,71.43347007476561,5.65,85.22,8.08,49.23,80.0,72.67
01-01,00:30,75.017328683039,5.22,82.17,6.92,53.46,90.33,73.0
01-01,00:40,73.16801380015956,7.39,81.74,5.0,47.31,87.0,73.0
01-01,00:50,69.43236067178178,10.0,76.09,5.38,46.15,82.33,72.67
01-01,01:00,64.71249171991116,8.26,73.91,4.62,42.31,69.33,72.67
01-01,01:10,64.1698344482478,7.83,80.0,3.85,36.54,61.33,72.67
01-01,01:20,61.920389704148555,9.13,75.65,3.85,33.85,58.67,72.67
01-01,01:30,66.52902874492948,6.96,78.26,3.46,42.31,69.67,73.0
01-01,01:40,67.99871729386078,6.52,82.17,3.85,50.0,69.0,72.67
01-01,01:50,67.62553516084041,6.52,86.09,4.23,54.62,60.0,73.0
01-01,02:00,66.97797132341725,8.26,79.57,4.23,48.85,69.67,72.67
01-01,02:10,64.32513545737926,9.57,83.48,4.23,50.77,52.67,72.67
01-01,02:20,58.34796370255823,10.87,70.43,3.08,49.23,38.67,72.67
01-01,02:30,57.80977330030785,12.61,71.3,1.92,43.08,19.0,72.67
01-01,02:40,58.10339323779439,10.0,73.04,1.92,40.38,34.67,72.67
01-01,02:50,61.676318458083344,10.87,82.17,1.92,43.85,38.67,72.67
01-01,03:00,60.78226954625958,13.91,81.74,2.31,40.77,22.0,72.67
01-01,03:10,55.88764899351661,12.61,67.83,1.92,36.54,22.33,73.0
01-01,03:20,53.5206435496285,8.7,60.43,1.92,26.15,23.67,72.67
01-01,03:30,50.32259787025615,6.96,43.48,1.92,20.38,16.33,72.67
01-01,03:40,53.07932037168081,6.96,49.13,2.69,21.54,7.0,72.67
01-01,03:50,55.40487742207434,6.52,56.96,3.08,21.15,6.33,72.67
01-01,04:00,55.19054868787445,6.09,60.87,3.08,21.54,12.67,72.67
01-01,04:10,55.14521289973691,4.78,58.7,3.46,22.69,11.0,73.0
01-01,04:20,53.822937426704236,6.09,49.13,3.46,12.69,8.0,72.67
01-01,04:30,50.16462575583104,6.52,51.74,2.69,8.46,21.0,67.67
01-01,04:40,48.90185071324995,12.61,50.0,4.23,6.92,31.67,67.67
01-01,04:50,53.33053205533597,11.3,53.48,4.62,6.54,36.33,73.0
01-01,05:00,50.22757227349108,14.78,53.04,5.38,13.08,31.67,71.33
01-01,05:10,51.591345494245395,11.3,52.61,6.15,17.31,45.33,70.67
01-01,05:20,52.65031656983253,7.83,55.22,6.15,27.31,47.0,70.67
01-01,05:30,52.24698384304187,10.0,57.83,7.69,36.92,34.0,72.67
01-01,05:40,52.1574773858121,10.87,60.0,8.08,36.92,25.33,72.33
01-01,05:50,54.83500503666918,9.57,67.83,8.85,26.54,16.67,72.67
01-01,06:00,53.55845427379729,10.87,63.04,10.38,22.31,12.0,72.67
01-01,06:10,54.223755787992,11.3,66.09,11.92,21.92,8.0,71.0
01-01,06:20,57.08308443423321,9.57,66.09,11.54,16.92,3.67,72.67
01-01,06:30,58.967986598013084,15.65,73.48,10.77,18.08,3.67,72.67
01-01,06:40,58.200622515029096,16.96,71.3,10.0,17.31,3.67,72.67
01-01,06:50,58.44940990063283,21.74,73.91,11.54,14.23,5.33,72.67
01-01,07:00,57.89984887171873,21.74,73.91,10.38,12.69,9.33,72.67
01-01,07:10,58.69705224037482,24.35,76.96,12.31,13.85,9.0,73.0
01-01,07:20,58.764205290900954,25.65,79.13,10.0,20.0,10.33,72.67
01-01,07:30,61.18830080761881,35.65,85.22,10.38,26.15,8.67,72.67
01-01,07:40,55.87659375097825,43.91,72.61,17.69,19.62,2.33,67.67
01-01,07:50,58.10257428049174,36.52,71.3,24.62,9.62,1.0,72.67
01-01,08:00,54.71924304554613,39.13,60.43,22.31,11.15,1.0,72.67
01-01,08:10,54.23360653478658,46.52,53.91,21.54,10.0,1.67,73.0
01-01,08:20,54.554956947544305,,41.3,,11.92,,67.33
01-01,08:23,39.03552730970367,51.74,,16.92,,5.33,
01-01,08:30,48.75067678195249,50.87,44.35,16.92,12.31,9.0,67.67
01-01,08:40,50.94084794297175,61.74,37.39,14.62,10.38,10.67,67.67
01-01,08:50,49.569216711085,53.91,24.35,19.62,6.92,3.67,67.67
01-01,09:00,50.44511084349141,57.83,21.3,20.0,5.38,6.33,67.67
01-01,09:10,52.01381546517548,50.43,33.91,22.31,5.38,3.67,72.67
01-01,09:20,51.22086033111636,43.48,36.52,30.38,7.69,1.0,72.67
01-01,09:30,50.73983770034336,49.13,51.3,25.38,7.69,12.0,70.0
01-01,09:40,51.80327462078875,45.65,56.96,28.85,12.31,9.67,71.33
01-01,09:50,53.1419662726541,42.61,65.22,24.62,21.15,11.67,72.67
01-01,10:00,53.263000320886974,47.39,66.09,33.46,33.46,23.33,72.67
01-01,10:10,54.85562209477815,52.61,70.87,38.08,40.38,22.0,69.33
01-01,10:20,56.7139910039058,57.83,70.0,35.38,42.31,20.33,72.67
01-01,10:30,60.18948447822201,70.0,72.17,36.54,43.85,15.67,72.33
01-01,10:40,60.44207719459315,67.83,70.0,40.38,49.23,12.67,72.67
01-01,10:50,63.70770344029307,71.74,76.96,45.0,50.0,10.33,72.67
01-01,11:00,63.857785241094305,73.48,71.74,52.69,49.62,9.0,72.67
01-01,11:10,67.37140773393541,81.74,80.43,51.15,44.62,8.33,72.67
01-01,11:20,67.47824900539433,76.52,82.61,55.0,49.23,8.33,72.67
01-01,11:30,62.549554147359935,57.39,76.96,53.08,50.77,7.33,72.67
01-01,11:40,61.03595201521659,46.09,80.43,46.54,47.31,7.33,73.0
01-01,11:50,59.095319179715645,36.96,79.13,37.69,43.46,5.33,72.67
01-01,12:00,61.799148350376804,22.17,81.3,42.69,52.31,3.33,72.67
01-01,12:10,65.22761040319,17.39,88.26,41.54,56.15,2.67,72.67
01-01,12:20,64.54134509565486,19.57,84.78,36.54,61.54,3.0,72.67
01-01,12:30,65.47510188105117,15.22,86.52,36.54,62.69,4.33,72.67
01-01,12:40,65.93695818736161,16.52,86.52,37.69,68.85,8.33,72.67
01-01,12:50,62.13643279377453,19.13,83.04,25.0,60.77,11.67,72.67
01-01,13:00,65.0106515060994,15.22,87.39,20.38,63.85,11.67,72.67
01-01,13:10,64.80661316829756,15.22,80.87,16.15,70.77,13.0,72.67
01-01,13:20,65.96862841981758,13.91,85.22,13.85,68.08,13.0,72.67
01-01,13:30,64.82378906464567,12.61,86.52,16.15,65.0,17.67,72.67
01-01,13:40,64.28150184123055,11.74,87.83,23.46,65.77,24.67,72.67
01-01,13:50,64.93365577832844,13.91,87.83,28.08,71.15,29.67,72.67
01-01,14:00,64.08576596988391,20.43,87.83,35.38,70.0,29.0,72.67
01-01,14:10,63.690451887009196,27.83,84.78,35.77,73.08,26.67,72.67
01-01,14:20,63.33487306441209,40.87,87.39,32.31,68.08,29.33,72.67
01-01,14:30,64.29717661907002,37.39,87.39,36.15,72.69,33.67,72.67
01-01,14:40,64.83607656064653,36.96,83.48,38.08,78.85,34.33,72.67
01-01,14:50,65.38462232625272,43.04,85.22,45.0,76.54,38.67,72.67
01-01,15:00,68.14284889687278,50.87,87.39,47.31,82.69,39.33,72.67
01-01,15:10,68.56621379984522,53.48,86.96,49.62,83.46,31.67,72.67
01-01,15:20,68.42575283728543,60.43,87.39,52.31,81.54,28.33,69.0
01-01,15:30,67.03625130007605,70.43,77.83,56.54,83.08,28.67,61.0
01-01,15:40,69.24576181823298,62.17,84.35,56.92,83.85,27.33,70.0
01-01,15:50,68.6219139806106,66.96,85.22,60.38,83.46,30.0,60.67
